target_date,decision_jst,current_bracket,side,model_probability,market_probability,ask,fee_per_share,edge_after_fee,payout,shares,cost_5shares,pnl_5shares_fee_adjusted
2026-08-03,2026-08-03T11:37:10.086527+09:00,26,YES,0.3990799061375141,0.33499999999999996,0.36,0.01152,0.027559906137514106,0,5.0,1.8575999999999997,-1.8575999999999997
2026-08-04,2026-08-04T12:38:10.923665+09:00,28,YES,0.2682690508250424,0.19999999999999996,0.22999999999999998,0.00886,0.029409050825042395,0,5.0,1.1943,-1.1943
2026-08-05,2026-08-05T12:27:28.874244+09:00,29,YES,0.1258642328179269,0.08999999999999997,0.09999999999999998,0.0045,0.021364232817926935,0,5.0,0.5225,-0.5225
2026-08-05,2026-08-05T13:48:28.957912+09:00,30,YES,0.5624030748714655,0.48,0.5,0.0125,0.04990307487146546,1,5.0,2.5625,2.4375
2026-08-06,2026-08-06T13:07:56.360930+09:00,29,YES,0.08614857139235799,0.04400000000000004,0.050000000000000044,0.00238,0.03376857139235794,0,5.0,0.26190000000000024,-0.26190000000000024
2026-08-06,2026-08-06T15:07:54.563328+09:00,30,YES,0.5437132706596488,0.49,0.5,0.0125,0.031213270659648806,0,5.0,2.5625,-2.5625
2026-08-07,2026-08-07T10:17:06.049370+09:00,32,YES,0.30319144849821866,0.265,0.27,0.00986,0.023331448498218645,0,5.0,1.3993,-1.3993
2026-08-07,2026-08-07T12:07:30.784302+09:00,33,YES,0.7507243560728933,0.715,0.72,0.01008,0.020644356072893368,1,5.0,3.6504,1.3496000000000001
2026-08-08,2026-08-08T12:57:04.966192+09:00,34,YES,0.8102266321010456,0.745,0.75,0.00938,0.05084663210104562,1,5.0,3.7969,1.2031000000000003
2026-08-09,2026-08-09T12:57:10.244244+09:00,32,YES,0.43997845173103123,0.36,0.39,0.0119,0.038078451731031214,0,5.0,2.0095,-2.0095
