icao,airport,asos_awos_phone,asos_awos_frequency,datis_phone,datis_frequency,source_edition,measurement_status
KORD,Chicago O'Hare,(773) 800-0035,,(773) 601-8921,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KMSP,Minneapolis-St Paul,(218) 203-0160,,(612) 726-9240,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KBOS,Boston Logan,(339) 746-6855,135.0,(617) 455-3003,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KEWR,Newark Liberty,(862) 381-4743,,(973) 824-4417,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KJFK,John F Kennedy,(347) 588-1609,,,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KLGA,LaGuardia,(929) 229-1994,,(718) 424-4713,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KDCA,Reagan National,(276) 200-0159,132.65,(703) 419-3917,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KIAD,Washington Dulles,(571) 250-7817,134.85,(571) 323-6374,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KPDX,Portland International,(458) 212-2405,,(503) 493-7557,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KSEA,Seattle Tacoma,(206) 214-2592,,(206) 241-6025,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KDFW,Dallas Fort Worth,(214) 600-7784,,(972) 615-2701,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KIAH,Houston Intercontinental,(713) 338-9561,,(281) 209-8665,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KMIA,Miami International,(645) 231-5974,119.15,(305) 869-5445 / (305) 869-5446,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KATL,Hartsfield-Jackson Atlanta,(404) 559-5166,,(404) 763-7988,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KLAX,Los Angeles International,(310) 602-6051,,(310) 646-2297,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KSFO,San Francisco International,(650) 250-5841,,(650) 821-0677 / 1677 / 2677,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KDEN,Denver International,(719) 204-1223,,(303) 342-0819 / 0820,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KLAS,Harry Reid International,(702) 582-5334,,(702) 736-0950,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KSLC,Salt Lake City,(801) 899-0709,125.625,(801) 325-9749,,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
KPHX,Phoenix Sky Harbor,(602) 551-6092,,,127.575,FAA DCS 2026-07-09,READY_NEEDS_TELEPHONY
